Twitter,State,Party,Type,Name,twitter_display_name
SenatorCardin,MD,Democrat,Senator,Benjamin Cardin,Senator Ben Cardin
RepAndyHarrisMD,MD,Republican,Representative,Andy Harris,"Rep. Andy Harris, MD"
Call_Me_Dutch,MD,Democrat,Representative,C. A. Dutch Ruppersberger,Dutch Ruppersberger
RepSarbanes,MD,Democrat,Representative,John P. Sarbanes,Rep. John Sarbanes
RepAnthonyBrown,MD,Democrat,Representative,Anthony Brown,Anthony Brown
LeaderHoyer,MD,Democrat,Representative,Steny H. Hoyer,Steny (Wear a Mask) Hoyer
RepDavidTrone,MD,Democrat,Representative,David Trone,Rep. David Trone
Mfume4Congress,MD,Democrat,Representative,Kweisi Mfume,Kweisi Mfume
Jamie_Raskin,MD,Democrat,Representative,Jamie Raskin,Jamie Raskin
SenWarren,MA,Democrat,Senator,Elizabeth Warren,Elizabeth Warren
SenMarkey,MA,Democrat,Senator,Edward Markey,Ed Markey
RepRichardNeal,MA,Democrat,Representative,Richard E. Neal,Rep. Richard Neal
RepMcGovern,MA,Democrat,Representative,James McGovern,Rep. Jim McGovern
RepLoriTrahan,MA,Democrat,Representative,Lori Trahan,Congresswoman Lori Trahan
RepJoeKennedy,MA,Democrat,Representative,Joseph P. Kennedy III,Rep. Joe Kennedy III
RepKClark,MA,Democrat,Representative,Katherine Clark,Katherine Clark
teammoulton,MA,Democrat,Representative,Seth Moulton,TeamMoulton
RepPressley,MA,Democrat,Representative,Ayanna Pressley,Congresswoman Ayanna Pressley
RepStephenLynch,MA,Democrat,Representative,Stephen F. Lynch,Rep. Stephen Lynch
USRepKeating,MA,Democrat,Representative,William Keating,Congressman Bill Keating
SenStabenow,MI,Democrat,Senator,Debbie Stabenow,Sen. Debbie Stabenow
SenGaryPeters,MI,Democrat,Senator,Gary Peters,Senator Gary Peters
JackBergman_MI1,MI,Republican,Representative,Jack Bergman,Jack Bergman
RepHuizenga,MI,Republican,Representative,Bill Huizenga,Rep. Bill Huizenga
justinamash,MI,Libertarian,Representative,Justin Amash,Justin Amash
RepMoolenaar,MI,Republican,Representative,John Moolenaar,Rep. John Moolenaar
RepDanKildee,MI,Democrat,Representative,Daniel Kildee,Rep. Dan Kildee
RepFredUpton,MI,Republican,Representative,Fred Upton,Fred Upton #WearYourMask
RepWalberg,MI,Republican,Representative,Tim Walberg,Rep Tim Walberg
RepSlotkin,MI,Democrat,Representative,Elissa Slotkin,Rep. Elissa Slotkin
RepAndyLevin,MI,Democrat,Representative,Andy Levin,Rep. Andy Levin
PaulMitchell4us,MI,Republican,Representative,Paul Mitchell,Paul Mitchell
RepHaleyStevens,MI,Democrat,Representative,Haley Stevens,Rep. Haley Stevens
RepDebDingell,MI,Democrat,Representative,Debbie Dingell,Rep. Debbie Dingell
RepRashida,MI,Democrat,Representative,Rashida Tlaib,Congresswoman Rashida Tlaib
RepLawrence,MI,Democrat,Representative,Brenda Lawrence,Brenda Lawrence
amyklobuchar,MN,Democrat,Senator,Amy Klobuchar,Amy Klobuchar
SenTinaSmith,MN,Democrat,Senator,Tina Smith,Senator Tina Smith
RepHagedorn,MN,Republican,Representative,Jim Hagedorn,Congressman Jim Hagedorn
RepAngieCraig,MN,Democrat,Representative,Angie Craig,Angie Craig
RepDeanPhillips,MN,Democrat,Representative,Dean Phillips,Rep. Dean Phillips 🇺🇸
BettyMcCollum04,MN,Democrat,Representative,Betty McCollum,Rep. Betty McCollum
IlhanMN,MN,Democrat,Representative,Ilhan Omar,Ilhan Omar
RepTomEmmer,MN,Republican,Representative,Tom Emmer,Tom Emmer
collinpeterson,MN,Democrat,Representative,Collin C. Peterson,Collin Peterson
RepPeteStauber,MN,Republican,Representative,Pete Stauber,Pete Stauber
SenatorWicker,MS,Republican,Senator,Roger Wicker,Senator Roger Wicker
SenHydeSmith,MS,Republican,Senator,Cindy Hyde-Smith,U.S. Senator Cindy Hyde-Smith
